"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.245632730E1	-6.076127291E-3	9.172379971E-3	3.080749512E-2	3.271320273E-2
1.246432644E1	3.466047347E-3	1.881182194E-2	2.362346649E-2	3.039681394E-2
1.247232449E1	-8.398242295E-3	1.160007715E-2	3.319931030E-2	3.615641669E-2
1.248032292E1	-3.687486053E-3	2.362304926E-2	2.362251282E-2	3.361055075E-2
1.248832198E1	-1.080574840E-2	6.875008345E-3	1.883316040E-2	2.277537857E-2
1.249632331E1	-1.219883561E-3	-3.766119480E-4	3.080558777E-2	3.083203189E-2
1.250432120E1	-1.566450298E-2	6.731927395E-3	2.602005005E-2	3.110849570E-2
1.251231738E1	1.111529768E-3	4.360079765E-3	1.404857635E-2	1.475155218E-2
1.252031546E1	-1.094453782E-2	-4.899799824E-4	4.278182983E-2	4.416229107E-2
1.252830995E1	-1.824937016E-2	1.624739170E-2	2.602481842E-2	3.569745680E-2
